fund_company,establish_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,award_count
光大保德信基金管理有限公司,2004/4/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上银基金管理有限公司,2013/8/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰康资产管理有限责任公司,2006/2/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹏扬基金管理有限公司,2016/7/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西部利得基金管理有限公司,2010/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
申万菱信基金管理有限公司,2004/1/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中金基金管理有限公司,2014/2/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信达澳亚基金管理有限公司,2006/6/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华富基金管理有限公司,2004/4/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国海富兰克林基金管理有限公司,2004/11/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国联安基金管理有限公司,2003/4/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东方基金管理股份有限公司,2004/6/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
创金合信基金管理有限公司,2014/7/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金鹰基金管理有限公司,2002/11/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中邮创业基金管理股份有限公司,2006/5/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
睿远基金管理有限公司,2018/10/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鑫元基金管理有限公司,2013/8/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴银基金管理有限责任公司,2013/10/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
英大基金管理有限公司,2012/8/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新华基金管理股份有限公司,2004/12/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
太平基金管理有限公司,2013/1/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汇丰晋信基金管理有限公司,2005/11/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中信证券股份有限公司,1995/10/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
财通基金管理有限公司,2011/6/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浙商基金管理有限公司,2010/10/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中信建投基金管理有限公司,2013/9/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方正富邦基金管理有限公司,2011/7/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汇安基金管理有限责任公司,2016/4/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
圆信永丰基金管理有限公司,2014/1/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
诺德基金管理有限公司,2006/6/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国金基金管理有限公司,2011/11/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
德邦基金管理有限公司,2012/3/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
惠升基金管理有限责任公司,2018/9/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华泰保兴基金管理有限公司,2016/7/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新疆前海联合基金管理有限公司,2015/8/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蜂巢基金管理有限公司,2018/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金元顺安基金管理有限公司,2006/11/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
朱雀基金管理有限公司,2018/10/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
博道基金管理有限公司,2017/6/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
淳厚基金管理有限公司,2018/11/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中庚基金管理有限公司,2015/11/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东吴基金管理有限公司,2004/9/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰信基金管理有限公司,2003/5/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
格林基金管理有限公司,2016/11/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉合基金管理有限公司,2014/7/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中航基金管理有限公司,2016/6/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海国泰君安证券资产管理有限公司,2010/8/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中海基金管理有限公司,2004/3/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富荣基金管理有限公司,2016/1/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华泰证券(上海)资产管理有限公司,2014/10/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中泰证券(上海)资产管理有限公司,2014/8/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
恒越基金管理有限公司,2017/9/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长江证券(上海)资产管理有限公司,2014/9/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海光大证券资产管理有限公司,2012/2/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江浙商证券资产管理有限公司,2013/4/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华润元大基金管理有限公司,2013/1/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东方阿尔法基金管理有限公司,2017/7/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山西证券股份有限公司,1988/7/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长安基金管理有限公司,2011/9/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广发证券资产管理(广东)有限公司,2014/1/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渤海汇金证券资产管理有限公司,2016/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南华基金管理有限公司,2016/11/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东海基金管理有限责任公司,2013/2/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北信瑞丰基金管理有限公司,2014/3/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东兴基金管理有限公司,2020/3/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红土创新基金管理有限公司,2014/6/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富安达基金管理有限公司,2011/4/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
贝莱德基金管理有限公司,2020/9/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红塔红土基金管理有限公司,2012/6/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九泰基金管理有限公司,2014/7/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天治基金管理有限公司,2003/5/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华融基金管理有限公司,2019/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新沃基金管理有限公司,2015/8/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西藏东财基金管理有限公司,2018/10/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方正证券股份有限公司,1994/10/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中国人保资产管理有限公司,2003/7/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中国国际金融股份有限公司,1995/7/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
